,"Last updated: Sep 5th, 2025 by Nila",,GENERAL INFORMATION,,,,,,,,,DEFENSIVE STATS - SUMMARY,,,,,,,,DEFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,DEFENSIVE STATS - RAW NUMBER,,,,,OFFENSIVE STATS - SUMMARY,,,,,,,,,,,OFFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,OFFENSIVE STATS - RAW NUMBER,,,,,MISCELLANEOUS,
,130,Toad Lv.130,,,,Water,Fish,Small,,,,,140.70%,161.52%,111.10%,149.70%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,King Dramoh Lv.130,,,,Water,Fish,Large,,,,,140.70%,300.76%,111.10%,258.17%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Angeling Lv.130,,,,Holy,Angel,Medium,,,,,140.70%,161.52%,111.10%,134.87%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Deviling Lv.130,,,,Shadow,Demon,Medium,,,,,140.70%,300.76%,111.10%,247.80%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Vagabond Wolf Lv.130,,,,Earth,Brute,Medium,,,,,203.33%,261.75%,166.60%,170.81%,,,,36.726%,166.601%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Dark Priest Lv.130,,,,Undead,Demon,Medium,,,,,264.88%,222.18%,222.10%,179.40%,,,,42.777%,222.102%,,,,,,,,"1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Chimera Lv.130,,,,Fire,Brute,Large,,,,,203.33%,261.75%,166.60%,170.81%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Mysteltainn Lv.130,,,,Shadow,Formless,Large,,,,,203.33%,261.73%,166.60%,213.60%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Ogretooth Lv.130,,,,Shadow,Formless,Large,,,,,264.88%,222.18%,184.66%,179.40%,,,,42.780%,222.103%,,,,,,,,"1,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Necromancer Lv.130,,,,Undead,Undead,Medium,,,,,140.70%,300.76%,111.10%,253.13%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Naght Sieger Lv.130,,,,Ghost,Demon,Large,,,,,264.88%,222.18%,184.66%,193.75%,,,,42.780%,222.103%,,,,,,,,"1,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Coelacanth Lv.130,,,,Water,Fish,Large,,,,,203.33%,261.74%,166.60%,225.96%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Observation Lv.130,,,,Neutral,Angel,Medium,,,,,264.88%,222.18%,222.10%,184.92%,,,,42.777%,222.102%,,,,,,,,"1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Skeggiold Lv.130,,,,Holy,Angel,Small,,,,,203.33%,261.73%,166.60%,218.35%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Poison,Insect,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Earth,Insect,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Holy,Angel,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Water,Dragon,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,Phreeoni Lv.140,,,,Neutral,Brute,Large,,,,,106.98%,,204.60%,,,,,,106.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Mistress Lv.140,,,,Wind,Insect,Small,,,,,130.18%,,272.80%,,,,,,130.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Eddga Lv.140,,,,Fire,Brute,Large,,,,,106.98%,,204.60%,,,,,,106.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Kraken Lv.140,,,,Water,Fish,Large,,,,,130.18%,,272.80%,,,,,,130.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Maya Lv.140,,,,Earth,Insect,Large,,,,,98.97%,,136.40%,,,,,,98.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Orc Hero Lv.140,,,,Earth,Demi-Human,Large,,,,,82.47%,,136.40%,,,,,,82.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Pharaoh Lv.140,,,,Shadow,Demi-Human,Large,,,,,98.97%,,136.40%,,,,,,98.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Orc Lord Lv.140,,,,Earth,Demi-Human,Large,,,,,82.47%,,136.40%,,,,,,82.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Doppelganger Lv.140,,,,Shadow,Demon,Medium,,,,,172.98%,,204.60%,,,,,,172.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Amon Ra Lv.140,,,,Earth,Demi-Human,Large,,,,,106.98%,,204.60%,,,,,,106.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Morroc Lv.140,,,,Shadow,Demon,Large,,,,,131.97%,,136.40%,,,,,,131.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Time Holder Lv.140,,,,Neutral,Demon,Large,,,,,164.97%,,136.40%,,,,,,164.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Tao Gunka Lv.140,,,,Neutral,Demon,Large,,,,,172.98%,,204.60%,,,,,,172.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Lost Dragon Lv.140,,,,Shadow,Dragon,Large,,,,,172.98%,,204.60%,,,,,,172.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
